Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/store/campaign/v2/listCoreCampaigns (POST),0.75 [0.5]*,4.0,453,127,272,551,1810,00.0,00.1
/infobutton/getRewardInfo (POST),1.0 [0.5]*,68.88404255319149,26.3,22.9,14.6,152,1810,00.0,00.0
/tutorial/mission/v1/action/draw (POST),1.0 [0.5]*,29.0,62.3,8.61,50.9,84.5,1810,00.0,00.0
/playermodel/recipe/processUpgradePlayerLevelRecipe (POST),1.0 [0.5]*,9.0,199,38.9,148,272,1790,00.0,00.0
/playermodel/campaign/v2/startStage (POST),1.0 [0.5]*,31.988349167748627,54.3,10.9,40.0,94.5,1740,00.0,00.0
/battlelog/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,25.98912740451631,65.4,17.8,23.1,126,1700,00.0,00.0
/recipe/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,46.97964475702001,34.7,8.82,23.9,63.1,1630,00.0,00.0
/recipe/processUpgradeCharacterQualityRecipe (POST),1.0 [0.5]*,17.99345000652253,88.8,21.4,62.7,150,1600,00.0,00.0
/store/mission/v1/action/draw (POST),1.0 [0.5]*,21.613513513513514,72.2,15.4,50.2,118,1560,00.0,00.0
/tutorial/tutorial/startStep (POST),1.0 [0.5]*,68.0,22.4,5.51,15.9,55.1,1530,00.0,00.0
/playermodel/inbox/getPlayerInbox (POST),1.0 [0.5]*,39.98931347150259,37.4,17.2,16.0,85.4,1500,00.0,00.0
/infobutton/getProductRewardInfo (POST),1.0 [0.5]*,80.91357159793925,18.3,7.32,12.2,60.9,1480,00.0,00.0
/tutorial/campaign/v2/finishStage (POST),1.0 [0.5]*,4.0,369,73.0,263,417,1480,00.0,00.0
/recipe/recipe/processUpgradeCharacterLevelRecipe (POST),1.0 [0.5]*,6.0,245,53.3,173,319,1470,00.0,00.0
/battlelog/ads/claim (POST),1.0 [0.5]*,39.470454545454544,34.7,4.27,27.6,47.0,1370,00.0,00.0
/battlelog/inbox/getPlayerInbox (POST),1.0 [0.5]*,41.98891224434903,32.6,15.7,12.9,71.8,1370,00.0,00.0
/socialintegrationv2/bind (POST),0.0 [0.5]*,9.0,151,32.5,103,203,1360,00.0,00.8
/playermodel/playermodel/listPlayerModels (POST),0.5 [0.5]*,1.0,1300,0,1300,1300,1300,00.0,00.0
/recipe/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,18.0,71.3,19.9,30.4,136,1280,00.0,00.0
/{a:crate|crate\/v1}/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,20.08815789473684,63.9,10.4,25.0,75.9,1280,00.0,00.0
/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,64.01216216216217,19.2,8.3,14.1,60.1,1230,00.0,00.0
/tutorial/playerraid/end (POST),1.0 [0.5]*,5.0,244,35.0,193,288,1220,00.0,00.0
/{a:crate|crate\/v1}/inbox/getPlayerInbox (POST),1.0 [0.5]*,36.0,33.9,20.4,11.6,99.7,1220,00.0,00.0
/leaderboards/getTopPlayers (POST),0.98 [0.5]*,53.975616890400964,22.2,14.5,9.22,66.5,1200,00.0,00.1
