Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/store/campaign/v2/startStage (POST),0.98 [0.5],1287.0,355,4150,32.8,94000,457000,00.1,00.0
/tutorial/recipe/processUpgradePlayerLevelRecipe (POST),0.86 [0.5],153.0,2860,17400,16.5,200000,438000,00.1,00.0
/battlelog/leaderboards/getCurrentLeague (POST),1.0 [0.5],2240.0,194,3370,13.1,94700,434000,00.1,00.0
/store/campaign/v2/getUpdatedStageInfo (POST),0.99 [0.5],1480.0,292,4200,11.8,122000,432000,00.1,00.0
/store/inbox/readPlayerInboxMessage (POST),0.98 [0.5],830.0,519,4910,25.5,87000,431000,00.1,00.0
/playermodel/recipe/processUpgradePlayerLevelRecipe (POST),0.82 [0.5],220.0,1940,10300,19.7,96800,427000,00.1,00.0
/battlelog/leaderboards/getTopPlayers (POST),0.98 [0.5],880.0,465,5050,9.29,87000,409000,00.1,00.0
/{a:crate|crate\/v1}/campaign/v2/getPlayerCampaignStatus (POST),0.99 [0.5],2884.0,139,2280,11.4,93000,402000,00.1,00.0
/tutorial/mission/v1/action/draw (POST),0.99 [0.5],1065.0,376,3300,43.8,55900,401000,00.1,00.0
/store/goal/v1/claimRepeatableGoal (POST),0.82 [0.5]*,59.0,6740,29500,83.2,218000,398000,00.1,00.0
/recipe/campaign/v2/listCoreCampaigns (POST),0.86 [0.5],444.0,893,5480,77.8,88300,397000,00.1,00.1
/playermodel/leaderboards/getCurrentLeague (POST),0.99 [0.5],2153.0,183,2160,11.9,70400,393000,00.1,00.0
/battlelog/inbox/claimPlayerInboxMessage (POST),0.95 [0.5],460.0,850,7070,56.4,115000,391000,00.1,00.0
/recipe/leaderboards/getRewardsByLeague (POST),0.98 [0.5],489.0,797,8280,10.7,124000,389000,00.1,00.0
/store/leaderboards/getPlayerPosition (POST),0.97 [0.5],871.0,443,3010,39.9,75700,386000,00.1,00.0
/playermodel/leaderboards/getRewardsByLeague (POST),0.98 [0.5],1317.0,281,3010,10.3,71100,371000,00.0,00.0
/playermodel/recipe/processInstantOpenCrateRecipe (POST),0.48 [0.5],1186.0,308,2480,23.8,84500,366000,00.0,00.7
/battlelog/recipe/processInstantOpenCrateRecipe (POST),0.48 [0.5],1186.0,305,2630,26.8,76900,362000,00.0,00.7
/recipe/campaign/v2/startStage (POST),0.97 [0.5],704.0,503,6740,27.7,175000,354000,00.0,00.0
/battlelog/tutorial/startStep (POST),0.98 [0.5],483.0,724,8270,15.5,137000,350000,00.0,00.0
